"Reg.No.
Term
Year",Course No.,Language,Section,"Course title
Period/Day
Class room","Enrollment limit
Mode of instruction",Instructor,"Credits
Links
 -Syllabus
 -Description
 -TES/GS"
"31159
Winter
2025",CHM321,J,,"Inorganic Chemistry II
無機化学 II
5/W,6/W
T-113",Face to Face,"KAWANO, Yasuro",2
"31160
Winter
2025",CHM342,J,,"Physical Chemistry III
物理化学 III
1/TU,2/TU
T-112",Face to Face,"ENDO, Osamu",2
"31161
Winter
2025
[change]
2025/11/03",CHM351,J,,"Advanced Laboratory in Chemistry I
化学特別実験 I
(4/TH,5/TH,6/TH,7/TH)
T-406",Face to Face,"KAWANO, Yasuro",2
"31162
Winter
2025
[change]
2025/10/14",DPS101,J,,"Introduction to Development Studies
開発学入門
1/SA,2/SA,3/SA
H-125","(180)
Face to Face","OMI, Kanako",3
"31163
Winter
2025
[change]
2025/12/04",DPS203,J,,"Development Macroeconomics
開発のマクロ経済学
4/W,4/F
I-132",Face to Face,"KONDO, Masanori",2
"31164
Winter
2025",ECO101,J,,"Principles of Macroeconomics
マクロ経済学原論
*4/M,*4/TH
T-171","(180)
Face to Face","KAIZOJI, Taisei",3
"31165
Winter
2025",ECO102,J,,"Principles of Microeconomics
ミクロ経済学原論
3/M,3/W,3/F
H-353","(180)
Face to Face","OGAWA, Akira",3
"31166
Winter
2025
[change]
2025/12/01",ECO103,E,,"Statistics for Business and Economics
経済と経営のための統計学
*4/W,*4/F
I-206","(50)
Face to Face","HWANG, Insang",3
"31167
Winter
2025",ECO233,J,,"Intermediate Microeconomics I
中級ミクロ経済学 I
2/M,2/W,2/F
H-352",Face to Face,"OGAWA, Akira",3
"31168
Winter
2025",ECO259,E,,"Financial Markets and Institutions
金融市場と金融機関
*4/M,*4/TH
H-275",Face to Face,"MONTGOMERY, Heather A.",3
"31169
Winter
2025",ECO260,E,,"Public Economics
公共経済学
*5/W,*5/F
H-274",Face to Face,"MARSZALEC, Daniel Janusz",3
"31170
Winter
2025
[change]
2025/03/04",ECO311,E,,"Applied Econometrics
応用計量経済学
*5/W,*5/F
I-104","(44)
Face to Face","HWANG, Insang",3
"31171
Winter
2025",ECO360,J,,"Special Topics in Asian Economy
アジア経済特講
5/M,6/M
T-249",Face to Face,"KONDO, Masanori",2
"31172
Winter
2025",ECO381,E,,"Advanced Studies in Economics I
経済学特別講義 I
*5/M,*5/TH
H-356",Face to Face,"MONTGOMERY, Heather A.",3
"31173
Winter
2025
[change]
2025/12/04",ECO384,J,,"Advanced Studies in International Economy II
国際経済特別研究 II
5/W,5/F
I-132",Face to Face,"KONDO, Masanori",2
"31174
Winter
2025",EDU116,J,,"Principles of Teacher Education
教職原論
5/M,6/M
H-205","(180)
Face to Face","IWATA, Yasuyuki",2
"31175
Winter
2025
[change]
2025/12/04",EDU117,J,,"Development and Education
開発と教育
3/M,3/W,3/F
T-171","(180)
Face to Face","NISHIMURA, Mikiko",3
"31176
Winter
2025
[change]
2025/12/04",EDU118,J,,"Psychological Perspectives on Effective Teaching and Learning
効果的教育に向けた心理学的アプローチ
*4/W,*4/F
T-328","(180)
Face to Face","SHIMIZU, Yasuo",3
"31177
Winter
2025",EDU201,E,,"Theory and Practice of Online Learning
オンライン学習の理論と実践
2/M,2/W,2/F
H-123",Face to Face,"HOWARD, Craig Dennis",3
"31178
Winter
2025
[change]
2025/03/03",EDU212,J,,"Curriculum and Instruction
カリキュラム論
6/TH,7/TH
H-173",Face to Face,"MATSUO, Tetsuro",2
"31179
Winter
2025",EDU215,E,,"Fundamentals of Comparative and International Education
比較教育と国際教育の基礎
5/W,6/W,7/W
H-105",Face to Face,"FUKUDA, Aya",3
"31180
Winter
2025",EDU218,J,,"Special Needs Education
特別支援教育論
5/TU,6/TU
H-205",Face to Face,"HIRATA, Yukihiro",2
"31181
Winter
2025",EDU221,E,,"Education in Developing Nations
発展途上国における教育
2/TH,3/TH
H-274",Face to Face,"DAWSON, Walter P.",2
"31182
Winter
2025",EDU309,J,,"Media Literacy
メディアリテラシー
1/TU,2/TU,1/TH
H-276",Face to Face,"AOKI, Hiroyuki",3
"31183
Winter
2025",EDU333,J,,"Seminar for Teaching Professions
教職実践演習
5/W,6/W
H-260",Face to Face,"OKAWA, Hiroshi",2
"31184
Winter
2025",ENV102,J,,"Environmental Science
環境科学
4/M,4/TH
T-328","(180)
Face to Face","FUJINUMA, Ryosuke",2
"31185
Winter
2025",ENV201,E,,"Field Study in Environmental Assessment
環境アセスメント実習


SUMMER RECESS & AUTUMN RECESS",Face to Face,"FUJINUMA, Ryosuke/WANG, Mu-Yun",1
"31186
Winter
2025",ENV203,J,,"Environmental Education
環境教育学
5/TH,6/TH
H-205",Face to Face,"NINOMIYA-LIM, Sachi/HAGIWARA, Go W.",2
"31187
Winter
2025",ENV301,J,,"Environmental Conservation
環境保全
5/F,6/F
H-353",Face to Face,"TOBAI, Sadayosi",2
"31188
Winter
2025",ENV302,J,,"Environmental Toxicology
環境毒性学
3/M,3/W
H-305",Face to Face,"FUJINUMA, Ryosuke",2
"31189
Winter
2025
[change]
2025/03/04",GSS101,E,A,"Approaches to Gender and Sexuality Studies
ジェンダー・セクシュアリティ研究へのアプローチ
*4/M,*4/TH
T-229","(180)
Face to Face","AMMOUR-MAYEUR, Olivier/SHIMABUKURO, Kairi",3
"31190
Winter
2025",GSS101,J,B,"Approaches to Gender and Sexuality Studies
ジェンダー・セクシュアリティ研究へのアプローチ
*4/W,*4/F
H-224","(180)
Face to Face","KATO, Etsuko/NISHIMURA, Mikiko",3
"31191
Winter
2025",GSS201,E,,"Gender and International Relations
ジェンダーと国際関係
1/SA,2/SA,3/SA
H-151",Face to Face,"KATO, Tamahi",3
"31192
Winter
2025
[change]
2025/10/30",HST106,E,,"History of Japan (Modern) III
日本史（近代）III
5/TH,6/TH,7/TH
H-274","(180)
Face to Face","JACOBY, Julia Mariko",3
"31193
Winter
2025",HST222,J,,"History of Japanese Foreign Relations
日本対外関係史
1/TU,2/TU,1/TH
H-102",Face to Face,"OLAH, Csaba",3
"31194
Winter
2025",HST224,E,,"Modern Japan and ICU
近代日本とICU
5/TU,6/TU,7/TU
H-105",Face to Face,"KISHI, Yu",3
"31195
Winter
2025",HST234,J,,"History of Southeast Asia
東南アジア史
5/F,6/F
H-324",Face to Face,"NEMOTO, Kei",2
"31196
Winter
2025",HST241,J,,"Cultural History of Europe
ヨーロッパ文化史
*4/M,*4/TH
H-306",Face to Face,"NASU, Kei",3
"31197
Winter
2025",HST242,J,,"Economic History of Europe
ヨーロッパ経済史
5/M,6/M
H-252",Face to Face,"KONISHI, Emi",2
"31198
Winter
2025",HST243,J,,"History of Eastern Europe
東欧史
5/F,6/F
H-305",Face to Face,"SHINOHARA, Taku",2
"31199
Winter
2025",HST264,J,,"20th-century World History
20世紀世界史
5/TU,6/TU
H-173",Face to Face,"SUZUKI, Kenta",2
"31200
Winter
2025",HST266,J,,"Reading Asia
アジアを読む
5/W,6/W
H-176",Face to Face,"KIKUCHI, Hideaki",2
"31201
Winter
2025
[change]
2025/10/14",HST273,E,,"History and Environment
歴史と環境
*4/M,*4/TH",Face to Face,"BORLAND, Janet Lorraine",3
"31202
Winter
2025
[change]
2025/10/20",HST322,J,,"Advanced Studies in Early Modern Japanese History
近世日本史特別研究
*5/M,*5/TH",Face to Face,"TSUBAKIDA, Yukiko",3
"31203
Winter
2025",IRL102,E,,"Introduction to International Relations
国際関係学概論
*4/M,*4/TH
H-173","(180)
Face to Face","SHANI, Giorgiandrea",3
"31204
Winter
2025",IRL236,E,,"Politics and International Relations in Korea
朝鮮半島の政治と国際関係
2/TH,3/TH
H-275",Face to Face,"SUH, Jae-Jung",2
"31205
Winter
2025",IRL239,E,,"Politics and International Relations in the Middle East
中東の政治と国際関係
5/F,6/F
H-224",Face to Face,"IKEDA, Akifumi",2
"31206
Winter
2025",IRL385,E,,"Advanced Studies in Human Security
人間の安全保障特別研究
5/TH,6/TH
H-176",Face to Face,"SHANI, Giorgiandrea",2
"31207
Winter
2025",IRL388,E,,"Advanced Studies in International Relations
国際関係学特別研究
2/TH,3/TH
H-351",Face to Face,"SALTON, Herman",2
"31208
Winter
2025
[change]
2025/03/04",ISC102,E,,"Elements of Discrete Mathematics
離散数学基礎
2/TH,3/TH
I-212","(63)
Face to Face","TANAKA, Hiroki",2
"31209
Winter
2025
[change]
2025/03/04",ISC106,J,,"Laboratory in Information Science
情報科学実験
5/TH,(6/TH,7/TH)
I-106","(81)
Face to Face","KABURAGI, Takashi",2
"31210
Winter
2025
[change]
2025/03/04",ISC212,J,,"Information Network Security
情報ネットワークセキュリティー
5/W,(6/W,7/W)
I-206","(50)
Face to Face","ISHIBASHI, Keisuke",2
"31211
Winter
2025",ISC225,J,,"Data Science Concepts
データサイエンス概念
5/M,(6/M,7/M)
H-125",Face to Face,"ISHIBASHI, Keisuke",2
"31212
Winter
2025
[change]
2025/03/04",ISC251,J,,"Multimedia Systems
マルチメディアシステム
5/M,(6/M,7/M)
I-212","(63)
Face to Face","OHTA, Keiji",2
"31213
Winter
2025
[change]
2025/03/04",ISC313,E,,"Database Systems
デ一タベ一ス論
5/TH,6/TH
I-212","(63)
Face to Face","TANAKA, Hiroki",2
"31214
Winter
2025",ISC315,J,,"Senior Seminar in Information Science I
情報科学四年次セミナー I
3/W,3/F
T-342",Face to Face,"KABURAGI, Takashi",2
"31215
Winter
2025",ISC342,J,,"Robotics
ロボット工学
1/TH,2/TH,3/TH
H-103",Face to Face,"KABURAGI, Takashi",3
"31216
Winter
2025",JPS301,E,,"Japanese Environmental and Climate Policies
日本における環境保護及び気候変動政策
2/TH,3/TH
H-354",Face to Face,"SABUNAS, Audrius",2
"31217
Winter
2025",LED102,J,,"Principles of Language Learning and Teaching
言語教授法原論
3/M,3/W,3/F
H-223","(180)
Face to Face","FUJII, Akiko/SHIROZA, Saran",3
"31218
Winter
2025
[change]
2025/12/04",LED214,E,,"Pragmatics and Language Learning
言語学習における語用論
2/M,2/W,2/F
T-112",Face to Face,"QUAY, Suzanne",3
"31219
Winter
2025",LED234,J,,"Teaching Methods in English (Eigo-Ka) II
英語科教育法 II
2/M,2/W,2/F
H-102",Face to Face,"FUJII, Akiko",3
"31220
Winter
2025
[change]
2025/02/03",LED273,J,,"Readings in Classical Japanese II
日本語古典講読 II
5/F,6/F,7/F
H-101",Face to Face,"TACHIBANA, Kazuhisa",3
"31221
Winter
2025
[change]
2025/12/04",LED275,J,,"Teaching Methods in Japanese (Kokugo-Ka) II
国語科教育法 II
2/M,2/W,2/F
H-106A",Face to Face,"HANDA, Atsuko",3
"31222
Winter
2025",LED318,J,,"Materials and Curriculum Development
教材・カリキュラム開発
2/M,2/W,2/F
H-104B",Face to Face,"CHUN, Sunyoung",3
"31223
Winter
2025",LED320,E,,"Research Methods in Language Education
言語教育研究法
*5/W,*5/F
H-124",Face to Face,"MIYAHARA, Masuko/FUJII, Akiko",3
"31224
Winter
2025",LED331,J,,"History of the English Language II
英語史 II
1/TU,2/TU,1/TH
H-106B",Face to Face,"SHIROZA, Saran",3
"31225
Winter
2025",LED357,J,,"The Teaching of Japanese as a Foreign Language II
外国語としての日本語教授法II
1/M,1/W,1/F
H-102",Face to Face,"HANDA, Atsuko",3
"31226
Winter
2025",LED360,J,,"Topics in Japanese Language Acquisition
日本語習得における諸問題
1/M,1/W,1/F
H-105",Face to Face,"CHUN, Sunyoung",3
"31227
Winter
2025",LAW101,J,,"Introduction to International Law
国際法概論
*4/W,*4/F
T-229","(180)
Face to Face","ARAKAKI, Osamu",3
"31228
Winter
2025",LAW205,J,,"Claims and Security Interest
債権総論・担保物権
5/M,6/M
H-123",Face to Face,"KAMIGOCHI, Chikako",2
"31229
Winter
2025",LAW208,E,,"International Law I
国際法 I
2/M,2/W,2/F
H-173",Face to Face,"ARAKAKI, Osamu",3
"31230
Winter
2025",LAW222,E,,"International Institutional Law
国際組織法
1/TU,2/TU,1/TH
H-356",Face to Face,"AYCOCK, Brian",3
"31231
Winter
2025",LAW229,E,,"Constitutional Law II
憲法II
5/M,6/M
H-105",Face to Face,"AKIYAMA, Hajime",2
"31232
Winter
2025
[change]
2025/12/04",LAW316,E,,"International Criminal Law
国際刑事法
2/M,2/W,2/F
H-301",Face to Face,"HASHIMOTO, Naoko",3
"31233
Winter
2025",LAW318,J,,"International Labor Law
国際労働法
5/W,6/W
H-123",Face to Face,"KAMEDA, Koji",2
"31234
Winter
2025",LAW381,E,,"Advanced Studies in Legal Science I
法学特別研究 I
*5/W,*5/F
T-249",Face to Face,"MATSUDA, Hiromichi",3
"31235
Winter
2025",LNG101,E,,"Introduction to Linguistics I
言語学入門 I
*4/W,*4/F
H-101","(180)
Face to Face","LEE, Seunghun",3
"31236
Winter
2025",LNG210,J,,"Lexical Studies
語彙の研究
1/M,1/W,1/F
H-358",Face to Face,"MIZUTA, Yoko",3
"31237
Winter
2025",LNG214,E,,"Phonology
音韻論
*5/W,*5/F
H-103",Face to Face,"LEE, Seunghun",3
"31238
Winter
2025",LNG215,J,,"Pragmatics
語用論
2/M,2/W,2/F
H-358",Face to Face,"MIZUTA, Yoko",3
"31239
Winter
2025",LNG218,E,,"Sociolinguistics
社会言語学
5/W,6/W,7/W
H-101",Face to Face,"EDA, Sanae",3
"31240
Winter
2025
[change]
2025/09/02",LNG223,E,,"Experimental Linguistics
実験言語学
3/TU,2/TH,3/TH",Face to Face,"LEE, Seunghun",3
"31241
Winter
2025",LNG393,J,,"Advanced Studies in Linguistics II
言語学上級セミナー II
5/M,6/M,7/M
H-304",Face to Face,"HWANG, Hyun Kyung",3
"31242
Winter
2025",LNG394,J,,"Advanced Studies in Linguistics III
言語学上級セミナー III
5/TU,6/TU,7/TU
H-123",Face to Face,"ONO, Hajime",3
"31243
Winter
2025",LIT101,E,,"Approaches to Literature
文学へのアプローチ
3/TU,2/TH,3/TH
H-304","(180)
Face to Face","AMMOUR-MAYEUR, Olivier",3
"31244
Winter
2025",LIT107,J,,"History of English Literature II
英文学史 II
1/SA,2/SA,3/SA
H-173","(180)
Face to Face","SUGIMOTO, Bunshiro",3
"31245
Winter
2025",LIT113,J,,"Introduction to Japanese Literature II
日本文学概論 II
2/M,2/W,2/F
H-308","(180)
Face to Face","YASUHARA, Makoto",3
"31246
Winter
2025",LIT117,E,,"Modern Japanese Literature in English Translation
現代日本文学入門
5/F,6/F,7/F
H-151","(180)
Face to Face","MORRISON, Lindsay R.",3
"31247
Winter
2025",LIT213,J,,"Classical Literature III
西洋古典文学 III
2/TH,3/TH
H-108",Face to Face,"FURUSAWA, Kano",2
"31248
Winter
2025
[change]
2025/02/12",LIT218,J,,"Readings in Latin II
ラテン語講読 II
5/W,6/W",Face to Face,"SANO, Yoshinori",2
"31249
Winter
2025",LIT224,E,,"Modern English Literature
近代英文学
1/TU,2/TU,3/TU
H-103",Face to Face,"MURAI, Mayako",3
"31250
Winter
2025",LIT230,E,,"Shakespeare II Performance
シェイクスピア II: パフォーマンス
*5/W,*5/F
H-302",Face to Face,"SIMONS, Christopher E. J.",3
"31251
Winter
2025
[change]
2025/02/19",LIT232,E,,"American Prose I
アメリカ散文 I
3/TU,2/TH,3/TH",Face to Face,"RAVENSCROFT, Claire",3
"31252
Winter
2025",LIT233,E,,"American Prose II
アメリカ散文 II
*4/M,*4/TH
H-356",Face to Face,"RAVENSCROFT, Claire",3
"31253
Winter
2025",LIT248,O,,"French Literature, Cinema, Thoughts II
フランス文学・映画・思想 II
1/TU,2/TU,1/TH
T-343",Face to Face,"AMMOUR-MAYEUR, Olivier",3
"31254
Winter
2025",LIT264,J,,"Early Modern Japanese Literature
近世日本文学
3/M,3/W,3/F
H-352",Face to Face,"YASUHARA, Makoto",3
"31255
Winter
2025
[change]
2025/02/12",LIT271,J,,"World Literature I
世界の文学 I
5/W,6/W,7/W
H-352",Face to Face,"MYOJO, Kiyoko",3
"31256
Winter
2025",LIT341,J,,"French Novel
フランス小説
2/M,2/W,2/F
T-249",Face to Face,"CHIJIIWA, Yasuko",3
"31257
Winter
2025",LIT382,J,,"Advanced Studies in Japanese Literature I
日本文学特別研究 I
*5/W,*5/F
H-104A",Face to Face,"SONOYAMA, Senri",3
"31258
Winter
2025
[change]
2025/02/12",LIT384,J,,"Advanced Studies in Classics I
西洋古典文学特別研究 I
5/M,6/M",Face to Face,"SANO, Yoshinori",2
"31259
Winter
2025",MTH101,J,A,"Calculus I
微分積分学Ⅰ
1/TH,2/TH<6/M,7/M or 6/W,7/W>
H-324","(180)
Face to Face","MARUYAMA, Fumitsuna/YAMAZAKI, Mitsuru",3
"31260
Winter
2025
[change]
2025/02/07",MTH101,E,B,"Calculus I
微分積分学Ⅰ
2/TH,3/TH,(6/W,7/W)
H-259","(180)
Face to Face","DOU, Xiaoling",3
"31261
Winter
2025
[change]
2025/02/25",MTH103,E,,"Linear Algebra I
線形代数学 I
5/W,6/W,(5/F,6/F)
H-303","(180)
Face to Face","KOBAYASHI, Masato",3
"31262
Winter
2025",MTH212,J,,"Function Theory of One Complex Variable
1変数複素関数論
5/TU,(6/TU,7/TU)
H-302",Face to Face,"NAKAISHI, Kentaro",2
"31263
Winter
2025
[change]
2025/06/19",MTH251,E,,"Basic Concepts in Mathematics III (General Topology)
数学通論 III（一般位相）
5/F,(6/F,7/F)
H-259",Face to Face,"MATSUMURA, Tomoo/OKAMOTO, Yukihiro",2
"31264
Winter
2025",MTH272,J,,"Probability and Statistics
確率論と統計学
1/TU,2/TU
H-302",Face to Face,"SHI, Shoi",2
"31265
Winter
2025",MTH384,E,A,"Advanced Seminar in Mathematics III
数学特別演習 III
6/SA,7/SA
T-112",Face to Face,"YAMAZAKI, Mitsuru",2
"31266
Winter
2025",MTH384,E,B,"Advanced Seminar in Mathematics III
数学特別演習 III
6/SA,7/SA
T-113",Face to Face,"MATSUMURA, Tomoo",2
"31267
Winter
2025",MTH388,J,,"Topics in Mathematics II
数学特論 II
1/M,2/M
H-302",Face to Face,"MARUYAMA, Fumitsuna",2
"31268
Winter
2025
[change]
2025/02/19",MTH389,E,,"Topics in Mathematics III
数学特論III
4/W,4/F
H-302",Face to Face,"SHIMIZU, Yuji/MATSUMURA, Tomoo",2
"31269
Winter
2025
[change]
2025/03/04",MCC107,E,,"Introduction to Interpreting
通訳入門
5/TH,6/TH,7/TH
I-103","(44)
Face to Face","TAMURA, Tomoko",3
"31270
Winter
2025",MCC211,E,,"Bilingualism and Multilingualism
バイリンガリズムとマルティリンガリズム
5/M,6/M
H-224",Face to Face,"NAKAMURA, Keiko",2
"31271
Winter
2025
[change]
2025/03/04",MCC232,E,,"Interpreting in Society
社会と通訳
5/W,6/W,7/W
I-103","(44)
Face to Face","TAMURA, Tomoko",3
"31272
Winter
2025",MCC252,J,,"Cultural Studies I
カルチュラル・スタディーズ I
5/TU,6/TU,7/TU
T-171",Face to Face,"YAMAMOTO, Atsuhisa",3
"31273
Winter
2025",MCC253,J,,"Cultural Studies II
カルチュラル・スタディーズII
2/M,2/W,2/F
T-270","(150)
Face to Face","ARIMOTO, Takeshi",3
"31274
Winter
2025",MCC254,J,,"Documentary Film Making
ドキュメンタリー・フィルム制作
5/TU,6/TU
H-101","(30)
Face to Face","SHIOZAKI, Toshiko",2
"31275
Winter
2025",MCC271,J,,"Contemporary Praxes on Communication Study
現代コミュニケーション学
5/M,6/M
T-328","(150)
Face to Face","ITOH, Megu",2
"31276
Winter
2025",MCC273,E,,"Intercultural Communication
異文化コミュニケーション
*4/M,*4/TH
H-205","(150)
Face to Face","HONG, Seung Min",3
"31277
Winter
2025",MCC275,E,,"Communication Technology and Society
コミュニケーション・テクノロジーと社会
*4/M,*4/TH
T-270",Face to Face,"TSE, Yu-Kei",3
"31278
Winter
2025
[change]
2025/10/20",MCC311,J,,"Language and History
言語と歴史
5/TU,6/TU",Face to Face,"ARAI, Yukiyasu",2
"31279
Winter
2025",MCC351,J,,"Cultural Studies III
カルチュラル・スタディーズIII
*5/W,*5/F
T-364",Face to Face,"ARIMOTO, Takeshi",3
"31280
Winter
2025",MCC381,E,,"Advanced Studies in Communication I
コミュニケーション論特別研究 I
*5/W,*5/F
H-323",Face to Face,"HONG, Seung Min",3
